@relation WaterLevels

@attribute Time numeric
@attribute xCoordinate numeric
@attribute WaterLevel numeric

@data
0,0,15.466667
0,10,15.466667
0,20,15.466667
0,30,15.466667
0,40,15.466667
0,50,15.466667
0,60,15.466667
0,70,15.466667
0,80,15.466667
0,90,15.466667
0,100,15.466667
0,110,15.466667
0,120,15.466667
0,130,15.466667
0,140,15.466667
0,150,15.466667
0,160,15.466667
0,170,15.466667
0,180,15.466667
0,190,15.466667
0,200,15.466667
0,210,15.466667
0,220,15.466667
0,230,15.466667
0,240,15.466667
0,250,15.466667
0,260,15.466667
0,270,15.466667
0,280,15.466667
0,290,15.466667
0,300,15.466667
0,310,15.466667
0,320,15.466667
0,330,15.466667
0,340,15.466667
0,350,15.466667
0,360,15.466667
0,370,15.466667
0,380,15.466667
0,390,15.466667
0,400,15.466667
0,410,15.466667
0,420,15.466667
0,430,15.466667
0,440,15.466667
0,450,15.466667
0,460,15.466667
0,470,15.466667
0,480,15.466667
0,490,15.466667
0,500,15.466667
0,510,15.466667
0,520,15.466667
0,530,15.466667
0,540,15.466667
0,550,15.466667
0,560,15.466667
0,570,15.466667
0,580,15.466667
0,590,15.466667
0,600,15.466667
0,610,15.466667
0,620,15.466667
0,630,15.466667
0,640,15.466667
0,650,15.466667
0,660,15.466667
0,670,15.466667
0,680,15.466667
0,690,15.466667
0,700,15.466667
0,710,15.466667
0,720,15.466667
0,730,15.466667
0,740,15.466667
0,750,15.466667
0,760,15.466667
0,770,15.466667
0,780,15.466667
0,790,15.466667
0,800,15.466667
0,810,15.466667
0,820,15.466667
0,830,15.466667
0,840,15.466667
0,850,15.466667
0,860,15.466667
0,870,15.466667
0,880,15.466667
0,890,15.466667
0,900,15.466667
0,910,15.466667
0,920,15.466667
0,930,15.466667
0,940,15.466667
0,950,15.466667
0,960,15.466667
0,970,15.466667
0,980,15.466667
0,990,15.466667
0,1000,15.466667
0,1010,15.466667
0,1020,15.466667
0,1030,15.466667
0,1040,15.466667
0,1050,15.466667
0,1060,15.466667
0,1070,15.466667
0,1080,15.466667
0,1090,15.466667
0,1100,15.466667
0,1110,15.466667
0,1120,15.466667
0,1130,15.466667
0,1140,15.466667
0,1150,15.466667
0,1160,15.466667
0,1170,15.466667
0,1180,15.466667
0,1190,15.466667
0,1200,15.466667
0,1210,15.466667
0,1220,15.466667
0,1230,15.466667
0,1240,15.466667
0,1250,15.466667
0,1260,15.466667
1,0,15.481718
1,10,15.481724
1,20,15.481729
1,30,15.481735
1,40,15.481741
1,50,15.481746
1,60,15.481752
1,70,15.481758
1,80,15.481763
1,90,15.481769
1,100,15.481774
1,110,15.48178
1,120,15.481786
1,130,15.481791
1,140,15.481797
1,150,15.481803
1,160,15.481808
1,170,15.481814
1,180,15.481819
1,190,15.481825
1,200,15.481831
1,210,15.481836
1,220,15.481842
1,230,15.481848
1,240,15.481853
1,250,15.481859
1,260,15.481865
1,270,15.48187
1,280,15.481876
1,290,15.481881
1,300,15.481887
1,310,15.481893
1,320,15.481898
1,330,15.481904
1,340,15.48191
1,350,15.481915
1,360,15.481921
1,370,15.481926
1,380,15.481932
1,390,15.481938
1,400,15.481943
1,410,15.481949
1,420,15.481955
1,430,15.48196
1,440,15.481966
1,450,15.481972
1,460,15.481977
1,470,15.481983
1,480,15.481988
1,490,15.481994
1,500,15.482
1,510,15.482005
1,520,15.482011
1,530,15.482017
1,540,15.482022
1,550,15.482028
1,560,15.482034
1,570,15.482039
1,580,15.482045
1,590,15.48205
1,600,15.482056
1,610,15.482062
1,620,15.482067
1,630,15.482073
1,640,15.482079
1,650,15.482084
1,660,15.48209
1,670,15.482095
1,680,15.482101
1,690,15.482107
1,700,15.482112
1,710,15.482118
1,720,15.482124
1,730,15.482129
1,740,15.482135
1,750,15.482141
1,760,15.482146
1,770,15.482152
1,780,15.482157
1,790,15.482163
1,800,15.482169
1,810,15.482174
1,820,15.48218
1,830,15.482186
1,840,15.482191
1,850,15.482197
1,860,15.482202
1,870,15.482208
1,880,15.482214
1,890,15.482219
1,900,15.482225
1,910,15.482231
1,920,15.482236
1,930,15.482242
1,940,15.482248
1,950,15.482253
1,960,15.482259
1,970,15.482264
1,980,15.48227
1,990,15.482276
1,1000,15.482281
1,1010,15.482287
1,1020,15.482293
1,1030,15.482298
1,1040,15.482304
1,1050,15.48231
1,1060,15.482315
1,1070,15.482321
1,1080,15.482326
1,1090,15.482332
1,1100,15.482338
1,1110,15.482343
1,1120,15.482349
1,1130,15.482355
1,1140,15.48236
1,1150,15.482366
1,1160,15.482371
1,1170,15.482377
1,1180,15.482383
1,1190,15.482388
1,1200,15.482394
1,1210,15.4824
1,1220,15.482405
1,1230,15.482411
1,1240,15.482417
1,1250,15.482422
1,1260,15.482428
2,0,15.496769
2,10,15.49678
2,20,15.496792
2,30,15.496803
2,40,15.496814
2,50,15.496825
2,60,15.496837
2,70,15.496848
2,80,15.496859
2,90,15.496871
2,100,15.496882
2,110,15.496893
2,120,15.496904
2,130,15.496916
2,140,15.496927
2,150,15.496938
2,160,15.496949
2,170,15.496961
2,180,15.496972
2,190,15.496983
2,200,15.496994
2,210,15.497006
2,220,15.497017
2,230,15.497028
2,240,15.49704
2,250,15.497051
2,260,15.497062
2,270,15.497073
2,280,15.497085
2,290,15.497096
2,300,15.497107
2,310,15.497118
2,320,15.49713
2,330,15.497141
2,340,15.497152
2,350,15.497163
2,360,15.497175
2,370,15.497186
2,380,15.497197
2,390,15.497208
2,400,15.49722
2,410,15.497231
2,420,15.497242
2,430,15.497254
2,440,15.497265
2,450,15.497276
2,460,15.497287
2,470,15.497299
2,480,15.49731
2,490,15.497321
2,500,15.497332
2,510,15.497344
2,520,15.497355
2,530,15.497366
2,540,15.497377
2,550,15.497389
2,560,15.4974
2,570,15.497411
2,580,15.497423
2,590,15.497434
2,600,15.497445
2,610,15.497456
2,620,15.497468
2,630,15.497479
2,640,15.49749
2,650,15.497501
2,660,15.497513
2,670,15.497524
2,680,15.497535
2,690,15.497546
2,700,15.497558
2,710,15.497569
2,720,15.49758
2,730,15.497592
2,740,15.497603
2,750,15.497614
2,760,15.497625
2,770,15.497637
2,780,15.497648
2,790,15.497659
2,800,15.49767
2,810,15.497682
2,820,15.497693
2,830,15.497704
2,840,15.497715
2,850,15.497727
2,860,15.497738
2,870,15.497749
2,880,15.49776
2,890,15.497772
2,900,15.497783
2,910,15.497794
2,920,15.497806
2,930,15.497817
2,940,15.497828
2,950,15.497839
2,960,15.497851
2,970,15.497862
2,980,15.497873
2,990,15.497884
2,1000,15.497896
2,1010,15.497907
2,1020,15.497918
2,1030,15.497929
2,1040,15.497941
2,1050,15.497952
2,1060,15.497963
2,1070,15.497975
