"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"A8XS5","636092164",158.0,24.0,7.199999809265137,"GeneralCargo",9448671,"Hamburg","2017-03-23T00:03:21.0"
"C4RK2","210248000",142.0,21.0,5.300000190734863,"GeneralCargo",9349227,"Hamburg","2017-03-21T00:01:04.0"
"C4RK2","210248000",142.0,21.0,6.400000095367432,"GeneralCargo",9349227,"Nordsee","2017-03-22T01:01:02.0"
"C4RK2","210248000",142.0,21.0,6.5,"GeneralCargo",9349227,"Nordsee","2017-03-22T13:16:29.0"
"C4RK2","210248000",142.0,21.0,6.599999904632568,"GeneralCargo",9349227,"Nordsee","2017-03-22T18:49:46.0"
"C4UJ2","209350000",125.0,22.0,7.099999904632568,"GeneralCargo",9360984,"Hamburg","2017-03-18T15:04:27.0"
"C4UJ2","209350000",125.0,22.0,7.599999904632568,"GeneralCargo",9360984,"Hamburg","2017-03-18T00:05:07.0"
"C6KD8","308090000",158.0,24.0,7.699999809265137,"GeneralCargo",9015187,"Nordsee","2017-03-22T22:37:37.0"
"CQBQ","255805845",134.0,23.0,6.599999904632568,"GeneralCargo",9354387,"Nordsee","2017-03-22T04:00:53.0"
"CQES","255805696",333.0,48.0,11.399999618530273,"GeneralCargo",9622215,"Nordsee","2017-03-21T02:00:56.0"
"CQES","255805696",333.0,48.0,12.100000381469727,"GeneralCargo",9622215,"Hamburg","2017-03-19T00:09:26.0"
"CQFS","255805620",229.0,32.0,7.900000095367432,"GeneralCargo",9681950,"Nordsee","2017-03-22T17:07:07.0"
"CQFS","255805620",229.0,32.0,13.800000190734863,"GeneralCargo",9681950,"Hamburg","2017-03-19T12:04:33.0"
"CQNT","255803990",99.0,16.0,6.0,"Tanker",9114751,"Hamburg","2017-03-20T02:43:52.0"
"CQNT","255803990",99.0,16.0,7.0,"Tanker",9114751,"Nordsee","2017-03-23T21:45:28.0"
"CQQL","255801670",119.0,16.0,6.5,"Tanker",9305362,"Nordsee","2017-03-22T05:17:06.0"
"CQSF","255623000",119.0,17.0,5.300000190734863,"Tanker",9260407,"Hamburg","2017-03-18T12:56:28.0"
"CQYD","255805883",133.0,19.0,7.0,"GeneralCargo",9108063,"Hamburg","2017-03-22T05:07:24.0"
"CQYD","255805883",133.0,19.0,7.400000095367432,"GeneralCargo",9108063,"Hamburg","2017-03-22T23:33:25.0"
"CQYD","255805883",133.0,19.0,7.5,"GeneralCargo",9108063,"Hamburg","2017-03-22T05:07:16.0"
"CQYR","255805897",300.0,48.0,10.899999618530273,"GeneralCargo",9720500,"Nordsee","2017-03-22T23:03:14.0"
"D5BO9","636092395",286.0,40.0,10.699999809265137,"GeneralCargo",9348089,"Hamburg","2017-03-21T00:16:28.0"
"D5BO9","636092395",286.0,40.0,12.600000381469727,"GeneralCargo",9348089,"Nordsee","2017-03-22T14:10:26.0"
"D5IO6","636016951",182.0,32.0,8.100000381469727,"Tanker",9724623,"Nordsee","2017-03-17T23:20:29.0"
"D5IR8","636016979",278.0,40.0,11.300000190734863,"GeneralCargo",9189354,"Nordsee","2017-03-19T16:22:44.0"
"D5NJ4","636092764",366.0,48.0,10.0,"GeneralCargo",9502960,"Hamburg","2017-03-19T11:10:52.0"
"D5NJ4","636092764",366.0,48.0,10.199999809265137,"GeneralCargo",9502960,"Hamburg","2017-03-19T15:02:31.0"
"D5NJ4","636092764",366.0,48.0,11.100000381469727,"GeneralCargo",9502960,"Nordsee","2017-03-21T05:47:44.0"
"DBOM","211280810",99.0,15.0,5.0,"Tanker",9176125,"Hamburg","2017-03-22T01:30:16.0"
"DEBQ","211379750",178.0,28.0,7.0,"Tanker",9204776,"Nordsee","2017-03-19T23:15:23.0"
"DFGL2","218816000",134.0,22.0,8.199999809265137,"GeneralCargo",9333345,"Hamburg","2017-03-20T08:31:39.0"
"DFGL2","218816000",134.0,22.0,8.399999618530273,"GeneralCargo",9333345,"Hamburg","2017-03-20T00:02:56.0"
"DFII","211523910",50.0,10.0,3.0,"Tanker",9588914,"Hamburg","2017-03-17T00:07:43.0"
"DFJE","218172000",79.0,19.0,2.799999952316284,"GeneralCargo",9510747,"Hamburg","2017-03-23T00:24:35.0"
"DFLX","211228200",58.0,10.0,2.5999999046325684,"Tanker",8124503,"Hamburg","2017-03-20T05:49:44.0"
"DFLX","211228200",58.0,10.0,3.4000000953674316,"Tanker",8124503,"Hamburg","2017-03-20T23:30:49.0"
